ID;TIPO GEOMETRIA;AÑO;CAUSA;AREA_Ha;OBSERVACION;LATITUD;LONGITUD;MUNICIPIO
4340;Polygon;2019;Cultivo;0,31407;Ninguna;6' 43' 6,108' N;77' 27' 13,985' W;BAHIA SOLANO
8313;Polygon;2021;Cultivo;0,31568;Ninguna;6' 15' 47.589' N;77' 26' 25.638' W;BAHIA SOLANO
4235;Polygon;2019;Cultivo;0,35693;Ninguna;6' 15' 7,291' N;77' 22' 14,805' W;BAHIA SOLANO
8018;Polygon;2020;Cultivo;0,36247;Ninguna;6' 6' 36,093' N;77' 25' 28,899' W;BAHIA SOLANO
8015;Polygon;2020;Cultivo;0,36593;Ninguna;6' 6' 41,252' N;77' 25' 56,844' W;BAHIA SOLANO
8000;Polygon;2020;Cultivo;0,36797;Ninguna;6' 4' 9,695' N;77' 20' 7,550' W;BAHIA SOLANO
4236;Polygon;2019;Cultivo;0,38193;Ninguna;6' 13' 40,825' N;77' 23' 10,588' W;BAHIA SOLANO
716;Polygon;2015;Deslizamiento;0,39596;Ninguna;6' 13' 51,120' N;77' 24' 45,608' W;BAHIA SOLANO
8016;Polygon;2020;Cultivo;0,40569;Ninguna;6' 3' 51,384' N;77' 19' 7,906' W;BAHIA SOLANO
8013;Polygon;2020;Cultivo;0,41031;Ninguna;6' 15' 43,672' N;77' 25' 57,261' W;BAHIA SOLANO
655;Polygon;2014;Cultivo;0,41424;Ninguna;6' 5' 54,929' N;77' 22' 38,885' W;BAHIA SOLANO
656;Polygon;2014;Cultivo;0,41482;Ninguna;6' 14' 6,554' N;77' 27' 21,339' W;BAHIA SOLANO
639;Polygon;2014;Desconocida;0,42281;Ninguna;6' 7' 57,374' N;77' 19' 43,694' W;BAHIA SOLANO
657;Polygon;2014;Cultivo;0,42507;Ninguna;6' 14' 39,568' N;77' 27' 6,951' W;BAHIA SOLANO
658;Polygon;2014;Cultivo;0,46859;Ninguna;6' 13' 40,850' N;77' 27' 11,258' W;BAHIA SOLANO
640;Polygon;2014;Desconocida;0,47573;Ninguna;6' 7' 27,351' N;77' 19' 38,614' W;BAHIA SOLANO
8302;Polygon;2021;Cultivo;0,48535;Ninguna;6' 2' 14.273' N;77' 21' 38.216' W;BAHIA SOLANO
8007;Polygon;2020;Cultivo;0,48639;Ninguna;6' 12' 27,859' N;77' 22' 50,763' W;BAHIA SOLANO
699;Polygon;2015;Cultivo;0,49633;Ninguna;6' 15' 54,762' N;77' 27' 25,277' W;BAHIA SOLANO
8308;Polygon;2021;Cultivo;0,51639;Ninguna;6' 12' 38.603' N;77' 22' 36.204' W;BAHIA SOLANO
641;Polygon;2014;Desconocida;0,53544;Ninguna;6' 7' 27,780' N;77' 22' 31,485' W;BAHIA SOLANO
717;Polygon;2015;Deslizamiento;0,55183;Ninguna;6' 13' 40,575' N;77' 24' 37,671' W;BAHIA SOLANO
642;Polygon;2014;Desconocida;0,56501;Ninguna;6' 7' 36,901' N;77' 22' 8,259' W;BAHIA SOLANO
643;Polygon;2014;Desconocida;0,57033;Ninguna;6' 7' 52,759' N;77' 20' 26,942' W;BAHIA SOLANO
659;Polygon;2014;Cultivo;0,57278;Ninguna;6' 9' 50,991' N;77' 22' 16,259' W;BAHIA SOLANO
660;Polygon;2014;Cultivo;0,57748;Ninguna;6' 13' 26,302' N;77' 26' 22,060' W;BAHIA SOLANO
644;Polygon;2014;Desconocida;0,58990;Ninguna;6' 7' 55,783' N;77' 20' 39,514' W;BAHIA SOLANO
8299;Polygon;2021;Cultivo;0,59788;Ninguna;6' 3' 38.451' N;77' 19' 31.209' W;BAHIA SOLANO
8003;Polygon;2020;Cultivo;0,61543;Ninguna;6' 8' 1,908' N;77' 20' 43,247' W;BAHIA SOLANO
661;Polygon;2014;Cultivo;0,62178;Ninguna;6' 8' 17,743' N;77' 19' 23,099' W;BAHIA SOLANO
8304;Polygon;2021;Cultivo;0,64955;Ninguna;6' 7' 30.098' N;77' 25' 27.601' W;BAHIA SOLANO
700;Polygon;2015;Cultivo;0,71449;Ninguna;6' 42' 38,504' N;77' 25' 25,462' W;BAHIA SOLANO
662;Polygon;2014;Cultivo;0,71710;Ninguna;6' 8' 54,059' N;77' 20' 58,167' W;BAHIA SOLANO
701;Polygon;2015;Cultivo;0,71720;Ninguna;6' 15' 23,083' N;77' 27' 31,348' W;BAHIA SOLANO
645;Polygon;2014;Desconocida;0,71737;Ninguna;6' 7' 46,412' N;77' 20' 21,943' W;BAHIA SOLANO
8306;Polygon;2021;Cultivo;0,71888;Ninguna;6' 12' 45.512' N;77' 22' 41.849' W;BAHIA SOLANO
646;Polygon;2014;Desconocida;0,72359;Ninguna;6' 7' 54,479' N;77' 19' 56,688' W;BAHIA SOLANO
4234;Polygon;2019;Cultivo;0,74185;Ninguna;6' 14' 2,948' N;77' 24' 58,531' W;BAHIA SOLANO
647;Polygon;2014;Desconocida;0,74199;Ninguna;6' 7' 48,221' N;77' 19' 36,510' W;BAHIA SOLANO
8312;Polygon;2021;Cultivo;0,74844;Ninguna;6' 18' 29.949' N;77' 22' 30.261' W;BAHIA SOLANO
663;Polygon;2014;Cultivo;0,76814;Ninguna;6' 14' 3,974' N;77' 26' 13,774' W;BAHIA SOLANO
648;Polygon;2014;Desconocida;0,78619;Ninguna;6' 7' 43,523' N;77' 20' 29,970' W;BAHIA SOLANO
664;Polygon;2014;Cultivo;0,79165;Ninguna;6' 6' 47,491' N;77' 21' 52,396' W;BAHIA SOLANO
8311;Polygon;2021;Cultivo;0,79271;Ninguna;6' 21' 17.954' N;77' 21' 59.735' W;BAHIA SOLANO
649;Polygon;2014;Desconocida;0,81452;Ninguna;6' 8' 4,873' N;77' 20' 15,274' W;BAHIA SOLANO
665;Polygon;2014;Cultivo;0,83236;Ninguna;6' 9' 43,815' N;77' 22' 10,534' W;BAHIA SOLANO
8314;Polygon;2021;Cultivo;0,84370;Ninguna;6' 14' 29.297' N;77' 22' 51.591' W;BAHIA SOLANO
